product_code,size,site,style_name,color,offer_url
,XXL,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,XXXL,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,L,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,M,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,S,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,XL,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,XS,houseoffraser,Barbour | Ashby Wax Jacket | Wax Jackets | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/ashby-wax-jacket-605427#colcode=60542722
,10,houseoffraser,Barbour | Audrey Showerproof Jacket | Vicuna G Check | FRASERS,Vicuna G Check,https://www.houseoffraser.co.uk/brand/barbour/audrey-showerproof-jacket-668067#colcode=66806705
,12,houseoffraser,Barbour | Audrey Showerproof Jacket | Vicuna G Check | FRASERS,Vicuna G Check,https://www.houseoffraser.co.uk/brand/barbour/audrey-showerproof-jacket-668067#colcode=66806705
,10,houseoffraser,Barbour | B.Li Abbey Jckt Ld53 | Coach Jackets | FRASERS,Neutral,https://www.houseoffraser.co.uk/brand/barbour/bli-abbey-jckt-ld53-602927#colcode=60292704
,12,houseoffraser,Barbour | B.Li Abbey Jckt Ld53 | Coach Jackets | FRASERS,Neutral,https://www.houseoffraser.co.uk/brand/barbour/bli-abbey-jckt-ld53-602927#colcode=60292704
,14,houseoffraser,Barbour | B.Li Abbey Jckt Ld53 | Coach Jackets | FRASERS,Neutral,https://www.houseoffraser.co.uk/brand/barbour/bli-abbey-jckt-ld53-602927#colcode=60292704
,16,houseoffraser,Barbour | B.Li Abbey Jckt Ld53 | Coach Jackets | FRASERS,Neutral,https://www.houseoffraser.co.uk/brand/barbour/bli-abbey-jckt-ld53-602927#colcode=60292704
,XXL,houseoffraser,Barbour | B.Li Fernport Jacket Sn54 | Coach Jackets | FRASERS,Concrete,https://www.houseoffraser.co.uk/brand/barbour/bli-fernport-jacket-sn54-604124#colcode=60412404
,L,houseoffraser,Barbour | B.Li Fernport Jacket Sn54 | Coach Jackets | FRASERS,Concrete,https://www.houseoffraser.co.uk/brand/barbour/bli-fernport-jacket-sn54-604124#colcode=60412404
,M,houseoffraser,Barbour | B.Li Fernport Jacket Sn54 | Coach Jackets | FRASERS,Concrete,https://www.houseoffraser.co.uk/brand/barbour/bli-fernport-jacket-sn54-604124#colcode=60412404
,S,houseoffraser,Barbour | B.Li Fernport Jacket Sn54 | Coach Jackets | FRASERS,Concrete,https://www.houseoffraser.co.uk/brand/barbour/bli-fernport-jacket-sn54-604124#colcode=60412404
,XL,houseoffraser,Barbour | B.Li Fernport Jacket Sn54 | Coach Jackets | FRASERS,Concrete,https://www.houseoffraser.co.uk/brand/barbour/bli-fernport-jacket-sn54-604124#colcode=60412404
,8,houseoffraser,Barbour | B.Li Lyndale Ovsh Ld53 | Dusky Green | FRASERS,Dusky Green,https://www.houseoffraser.co.uk/brand/barbour/bli-lyndale-ovsh-ld53-602902#colcode=60290215
,10,houseoffraser,Barbour | B.Li Lyndale Ovsh Ld53 | Dusky Green | FRASERS,Dusky Green,https://www.houseoffraser.co.uk/brand/barbour/bli-lyndale-ovsh-ld53-602902#colcode=60290215
