product_code,size,site,style_name,color,offer_url
,3,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,4,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,5,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,6,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,7,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,8,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,9,very,Barbour Abbey Full Length Wellington,Black,https://www.very.co.uk/barbour-abbey-full-length-wellington-black/1600477278.prd
,8,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,10,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,12,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,14,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,16,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,18,very,Barbour Abby Dress,Navy,https://www.very.co.uk/barbour-abby-dress-navy/1601144526.prd
,3,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,4,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,5,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,6,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,7,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,8,very,Barbour Adele Sandal,Black,https://www.very.co.uk/barbour-adele-sandal-black/1601100335.prd
,L,very,Barbour Allanton Embossed Logo Leather Belt,Brown,https://www.very.co.uk/barbour-allanton-embossed-logo-leather-belt-brown/1600373388.prd
