code,old_price,new_price,old_instock_sizes,new_instock_sizes,price_delta,stock_delta
LCA0362WH11,96.26,96.26,3,3,0.0,0
LCA0363CR51,122.55,122.55,2,2,0.0,0
LCA0365BE31,215.1,215.1,1,1,0.0,0
LCA0371BR31,149.95,149.95,4,4,0.0,0
LCA0374BK11,161.1,161.1,3,3,0.0,0
LCA0374ST31,161.1,161.1,4,4,0.0,0
LCA0378BE31,179.1,179.1,1,1,0.0,0
LCA0378OL71,143.1,143.1,2,2,0.0,0
LCA0379PU31,179.1,179.1,3,3,0.0,0
LCA0381NY91,170.1,170.1,1,1,0.0,0
LCA0381ST11,123.5,123.5,3,3,0.0,0
LCA0384GN31,152.1,152.1,6,6,0.0,0
LCA0384WH11,152.1,152.1,6,6,0.0,0
LCA0385NY91,132.05,132.05,3,3,0.0,0
LCA0385SN11,112.1,112.1,2,2,0.0,0
LCA0386WH11,179.1,179.1,5,5,0.0,0
LCA0387IN71,179.1,179.1,3,3,0.0,0
LCA0392BE11,159.95,159.95,4,4,0.0,0
LCA0392GN31,159.95,159.95,5,5,0.0,0
LCA0392GY52,159.95,159.95,5,5,0.0,0
LCA0394IN71,185.0,185.0,5,5,0.0,0
LCA0395GY51,239.95,239.95,5,5,0.0,0
LCA0396GN31,215.0,215.0,6,6,0.0,0
LCA0403ST32,224.1,224.1,2,2,0.0,0
LCA0404OL32,163.4,163.4,4,4,0.0,0
LCA0405OL32,199.95,199.95,6,6,0.0,0
LCA0406IN71,152.95,152.95,4,4,0.0,0
LCA0407BL71,190.0,190.0,3,3,0.0,0
LCA0412BK91,161.1,161.1,6,6,0.0,0
LCA0412CR31,161.1,161.1,6,6,0.0,0
LCA0412PI11,161.1,161.1,6,6,0.0,0
LCA0413BK91,197.1,197.1,6,6,0.0,0
LCA0413CR31,197.1,197.1,6,6,0.0,0
LCA0414BK11,179.1,179.1,6,6,0.0,0
LCA0414BR31,179.1,179.1,5,5,0.0,0
LCA0415BK11,229.0,229.0,7,7,0.0,0
LCA0415ST11,229.0,229.0,7,7,0.0,0
LCA0416BK11,199.0,199.0,7,7,0.0,0
LCA0416SN71,199.0,199.0,7,7,0.0,0
LCA0420SN71,179.0,179.0,8,8,0.0,0
LCA0421BR91,179.0,179.0,6,6,0.0,0
LCA0422OL51,161.1,161.1,5,5,0.0,0
LCA0422ST31,161.1,161.1,5,5,0.0,0
LCA0423BR31,161.1,161.1,6,6,0.0,0
LCA0424BR51,179.1,179.1,7,7,0.0,0
LCA0424OL71,179.1,179.1,6,6,0.0,0
LCA0426IN51,206.1,206.1,6,6,0.0,0
LCA0427CR11,161.1,161.1,6,6,0.0,0
LCA0427OL51,161.1,161.1,6,6,0.0,0
LCA0428BR92,149.0,149.0,6,6,0.0,0
LCA0428CR11,149.0,149.0,6,6,0.0,0
LCA0430SG71,199.0,199.0,7,7,0.0,0
LCA0430SN71,199.0,199.0,7,7,0.0,0
LCA0431BK11,269.0,269.0,8,8,0.0,0
LCA0431ST31,269.0,269.0,8,8,0.0,0
LFL0055CR11,60.71,79.95,1,4,19.240000000000002,3
LFL0055PI11,60.71,89.95,1,4,29.240000000000002,3
LFL0056BR91,107.1,107.1,6,6,0.0,0
LFL0056CR11,88.95,88.95,5,5,0.0,0
LFL0056SG71,83.3,107.1,1,6,23.799999999999997,5
LFL0078BR92,71.95,71.95,4,4,0.0,0
LFL0078CR31,62.96,62.96,6,6,0.0,0
LFL0078NY71,62.96,79.95,1,6,16.990000000000002,5
LFL0078PI52,64.96,79.95,1,6,14.990000000000009,5
LFL0078RE71,62.96,62.96,2,2,0.0,0
LFL0078SG71,79.95,79.95,6,6,0.0,0
LFL0080OL51,119.95,119.95,4,4,0.0,0
LFL0084CR31,78.85,125.1,1,4,46.25,3
LFL0086BE93,99.95,99.95,6,6,0.0,0
LFL0086RE97,99.95,99.95,6,6,0.0,0
LFL0088BE93,119.0,119.0,6,6,0.0,0
LFL0090TN43,116.1,116.1,5,5,0.0,0
LFL0091CR52,89.95,89.95,6,6,0.0,0
LFL0091NY99,99.95,99.95,7,7,0.0,0
LFL0093OL71,79.95,79.95,7,7,0.0,0
LFL0094CR52,76.95,76.95,5,5,0.0,0
LFL0094NY99,89.95,89.95,7,7,0.0,0
LFL0095BE93,89.95,89.95,6,6,0.0,0
LFL0095OL71,89.95,89.95,6,6,0.0,0
LFL0095RE97,89.95,89.95,6,6,0.0,0
LFL0098BK11,98.1,98.1,6,6,0.0,0
LFL0098BR75,98.1,98.1,4,4,0.0,0
LFL0098WH12,98.1,109.0,1,6,10.900000000000006,5
LFL0099BR75,89.95,89.95,6,6,0.0,0
LFL0100BK11,80.95,80.95,6,6,0.0,0
LGI0003BK11,60.26,80.75,1,2,20.490000000000002,1
LGI0003BL21,89.95,89.95,2,2,0.0,0
LGI0003BR91,89.95,89.95,6,6,0.0,0
LGI0003CR31,62.96,62.96,2,2,0.0,0
LGI0003NY71,54.15,62.96,1,3,8.810000000000002,2
LGI0003OL52,56.05,89.95,1,6,33.900000000000006,5
LGI0003PI15,89.95,89.95,4,4,0.0,0
LGI0016BE31,116.1,116.1,3,3,0.0,0
LGI0016BK91,116.1,116.1,5,5,0.0,0
LGI0016NY71,96.95,96.95,5,5,0.0,0
LGI0016OL51,116.1,116.1,6,6,0.0,0
LGI0017BE32,107.1,107.1,6,6,0.0,0
LGI0017BK11,94.95,107.1,1,6,12.149999999999991,5
LGI0017NY71,107.1,107.1,7,7,0.0,0
LGI0017OL51,76.5,76.5,3,3,0.0,0
LGI0017PU95,107.1,107.1,5,5,0.0,0
LGI0017RE61,107.1,107.1,7,7,0.0,0
LGI0201BK11,107.1,107.1,7,7,0.0,0
LGI0201BR31,107.1,107.1,6,6,0.0,0
LGI0202BK91,116.1,116.1,1,1,0.0,0
LGI0204BK11,159.95,159.95,4,4,0.0,0
LGI0208GN91,100.08,100.08,4,4,0.0,0
LGI0208NY91,100.08,100.08,4,4,0.0,0
LGI0209BK91,124.45,124.45,4,4,0.0,0
LGI0210BK11,103.55,103.55,6,6,0.0,0
LGI0213BE91,107.1,107.1,5,5,0.0,0
LGI0213BK11,64.6,107.1,1,4,42.5,3
LGI0217BK11,77.9,77.9,3,3,0.0,0
LGI0219CR11,89.96,89.96,3,3,0.0,0
LGI0219GN93,89.96,89.96,5,5,0.0,0
LGI0220GN91,71.95,71.95,4,4,0.0,0
LGI0220NY91,84.55,84.55,3,3,0.0,0
LGI0223NY91,116.1,116.1,2,2,0.0,0
LGI0223WH11,129.0,129.0,6,6,0.0,0
LGI0224BK11,152.1,152.1,6,6,0.0,0
LGI0224PI11,152.1,152.1,6,6,0.0,0
LGI0225BK11,229.0,229.0,7,7,0.0,0
LGI0226BK11,129.0,129.0,6,6,0.0,0
LGI0226OL71,129.0,129.0,6,6,0.0,0
LGI0228CR11,116.1,116.1,7,7,0.0,0
LGI0228OL51,116.1,116.1,7,7,0.0,0
LGI0229BE33,129.0,129.0,6,6,0.0,0
LGI0229OL51,116.1,116.1,6,6,0.0,0
LLI0003BK11,72.0,72.0,5,6,0.0,1
LLI0003BR71,72.0,71.95,6,6,-0.04999999999999716,0
LLI0003NY91,72.0,72.0,7,7,0.0,0
LLI0003OL71,72.0,72.0,7,7,0.0,0
LML0633WH33,35.15,35.15,1,1,0.0,0
LOL0623NY73,48.56,48.56,4,3,0.0,-1
LOL0649BE11,71.96,71.96,1,1,0.0,0
LOL0654PI32,53.96,53.96,1,1,0.0,0
LOL0659BK11,71.95,71.95,6,6,0.0,0
LOL0660BK11,80.95,80.95,3,3,0.0,0
LOL0660BR51,80.95,80.95,4,4,0.0,0
LOL0668NY99,50.36,53.95,2,5,3.5900000000000034,3
LOL0669NY99,45.6,45.6,4,4,0.0,0
LOL0671PI98,57.0,79.95,1,6,22.950000000000003,5
LOL0672NY73,42.26,39.9,3,3,-2.3599999999999994,0
LOL0673NY73,45.6,45.6,4,4,0.0,0
LOL0677PI57,71.96,71.96,5,5,0.0,0
LOL0677PU13,71.96,71.96,4,4,0.0,0
LOL0678BK11,80.96,80.96,3,3,0.0,0
LOL0679BK11,62.96,62.96,6,6,0.0,0
LQU0030BK91,151.05,151.05,2,2,0.0,0
LQU0030BR92,179.1,179.1,8,8,0.0,0
LQU0087BE31,152.1,152.1,3,3,0.0,0
LQU0087BK91,130.5,130.5,7,7,0.0,0
LQU0087BR95,152.1,152.1,8,8,0.0,0
LQU0087NY91,130.5,130.5,7,7,0.0,0
LQU0087OL91,130.5,130.5,5,5,0.0,0
LQU0087PI51,152.1,152.1,1,1,0.0,0
LQU0087ST32,130.5,130.5,3,3,0.0,0
LQU0228BK91,73.15,73.15,2,2,0.0,0
LQU0228BL21,107.28,107.28,5,5,0.0,0
LQU0228NY91,95.95,95.95,5,5,0.0,0
LQU0228OL56,94.05,94.05,3,3,0.0,0
LQU0228PI71,134.1,134.1,1,1,0.0,0
LQU0228ST31,95.95,95.95,3,3,0.0,0
LQU0236CR51,76.45,76.45,8,8,0.0,0
LQU0236NY91,76.45,76.45,7,7,0.0,0
LQU0316BK91,152.1,152.1,3,3,0.0,0
LQU0471BK91,130.5,130.5,2,2,0.0,0
LQU0471BR11,130.5,130.5,3,3,0.0,0
LQU0471NY91,130.5,130.5,4,4,0.0,0
LQU0471OL91,130.5,130.5,2,2,0.0,0
LQU0475BE53,92.88,92.88,5,4,0.0,-1
LQU0475BE93,97.85,92.88,2,2,-4.969999999999999,0
LQU0475BK91,97.85,97.85,6,6,0.0,0
LQU0475CR71,92.88,92.88,7,7,0.0,0
LQU0475NY91,97.85,92.88,5,5,-4.969999999999999,0
LQU0475OL91,97.85,97.85,4,4,0.0,0
LQU0475PI56,92.88,92.88,4,4,0.0,0
LQU0475RE61,116.1,116.1,7,7,0.0,0
LQU0475RE96,116.1,116.1,8,8,0.0,0
LQU0475SN11,116.1,116.1,7,7,0.0,0
LQU0519BK91,128.66,128.66,2,2,0.0,0
LQU0519CR51,116.85,116.85,2,2,0.0,0
LQU0519NY91,128.88,128.88,6,5,0.0,-1
LQU0665BE34,161.1,161.1,3,3,0.0,0
LQU0665BK12,133.95,133.95,5,4,0.0,-1
LQU0665GN92,161.1,161.1,3,3,0.0,0
LQU0665NY94,161.1,161.1,3,3,0.0,0
LQU1012BE34,97.85,94.5,1,6,-3.3499999999999943,5
LQU1012BK91,97.85,97.85,6,6,0.0,0
LQU1012BR92,116.1,116.1,7,7,0.0,0
LQU1012NY71,97.85,97.85,7,7,0.0,0
LQU1012OL51,97.85,97.85,1,6,0.0,5
LQU1064BK91,113.05,113.05,4,4,0.0,0
LQU1064NY71,94.05,94.05,3,3,0.0,0
LQU1064OL53,108.0,108.0,2,2,0.0,0
LQU1542NY91,179.1,179.1,7,7,0.0,0
LQU1745BE31,251.1,251.1,1,1,0.0,0
LQU1745BK11,197.6,229.95,1,3,32.349999999999994,2
LQU1745OL52,179.55,179.55,2,2,0.0,0
LQU1765BK91,187.15,187.15,6,6,0.0,0
LQU1765NY71,166.44,166.44,4,4,0.0,0
LQU1765SG71,166.4,197.1,1,6,30.69999999999999,5
LQU1767BR52,152.1,152.1,6,5,0.0,-1
LQU1767TN14,169.0,169.0,8,8,0.0,0
LQU1813BK11,89.95,134.1,2,3,44.14999999999999,1
LQU1815WH11,179.1,179.1,1,1,0.0,0
LQU1820BK91,128.25,128.25,1,1,0.0,0
LQU1839BK11,129.95,129.95,3,3,0.0,0
LQU1839OL71,99.95,99.95,6,5,0.0,-1
LQU1849BK91,224.1,224.1,7,7,0.0,0
LQU1849SG71,224.1,224.1,7,7,0.0,0
LQU1851BE72,152.1,152.1,7,7,0.0,0
LQU1851BK91,128.25,169.0,1,8,40.75,7
LQU1851GN14,101.66,101.66,4,4,0.0,0
LQU1851NY52,152.1,152.1,7,7,0.0,0
LQU1851NY71,152.1,152.1,2,2,0.0,0
LQU1851OL74,152.1,152.1,7,7,0.0,0
LQU1851PI53,152.1,152.1,6,6,0.0,0
LQU1852BE72,152.1,152.1,2,2,0.0,0
LQU1852BK91,152.1,152.1,6,6,0.0,0
LQU1852GN14,152.1,152.1,2,2,0.0,0
LQU1852NY52,152.1,152.1,7,7,0.0,0
LQU1852OL74,152.1,152.1,6,6,0.0,0
LQU1852PI53,152.1,152.1,3,3,0.0,0
LQU1858OL71,139.95,139.95,2,2,0.0,0
LQU1859OL71,190.0,190.0,4,4,0.0,0
LQU1861BK91,109.25,109.25,3,3,0.0,0
LQU1863CR31,242.1,242.1,5,5,0.0,0
LQU1864BK91,132.05,132.05,2,2,0.0,0
LQU1866BK91,128.25,206.1,1,2,77.85,1
LQU1866GN31,132.05,132.05,2,2,0.0,0
LQU1867CR31,161.1,161.1,5,5,0.0,0
LQU1878BE91,242.1,242.1,6,6,0.0,0
LQU1880BK11,188.1,188.1,6,6,0.0,0
LQU1880CR11,188.1,188.1,4,4,0.0,0
LQU1883OL71,149.15,224.1,1,6,74.94999999999999,5
LQU1885NY91,179.1,179.1,4,4,0.0,0
LQU1885OL71,179.1,179.1,4,4,0.0,0
LQU1887BE31,161.1,206.1,1,4,45.0,3
LQU1894GN34,95.95,95.95,3,3,0.0,0
LQU1894PI32,152.1,152.1,4,4,0.0,0
LQU1895CR11,152.1,152.1,5,5,0.0,0
LQU1895GN93,152.1,152.1,5,5,0.0,0
LQU1896CR11,179.1,179.1,1,1,0.0,0
LQU1896GN93,179.1,179.1,1,1,0.0,0
LQU1897CR11,152.1,152.1,6,6,0.0,0
LQU1898NY91,134.1,134.1,6,6,0.0,0
LQU1898ST11,134.1,134.1,6,6,0.0,0
LQU1899NY71,134.1,134.1,6,6,0.0,0
LQU1900GN91,100.95,100.95,1,1,0.0,0
LQU1900NY91,152.1,152.1,1,1,0.0,0
LQU1908GN31,152.1,152.1,6,6,0.0,0
LQU1908NY91,152.1,152.1,6,6,0.0,0
LQU1912BK11,179.1,179.1,6,6,0.0,0
LQU1912BR31,179.1,179.1,6,6,0.0,0
