product_code,n_sites_avail,total_sizes,price_1,covered_1,nsup_1,price_2,covered_2,nsup_2,price_3,covered_3,nsup_3
LCA0362WH11,3,9,96.26,3,2,96.26,3,1,96.26,3,1
LCA0363CR51,1,9,122.55,2,1,122.55,2,1,122.55,2,1
LCA0365BE31,1,9,215.1,1,1,215.1,1,1,215.1,1,1
LCA0371BR31,1,9,149.95,4,1,149.95,4,1,149.95,4,1
LCA0374BK11,1,9,161.1,3,1,161.1,3,1,161.1,3,1
LCA0374ST31,1,9,161.1,4,1,161.1,4,1,161.1,4,1
LCA0378BE31,1,9,179.1,1,1,179.1,1,1,179.1,1,1
LCA0378OL71,1,9,143.1,2,1,143.1,2,1,143.1,2,1
LCA0379PU31,1,9,179.1,3,1,179.1,3,1,179.1,3,1
LCA0381NY91,1,9,170.1,1,1,170.1,1,1,170.1,1,1
LCA0381ST11,2,9,123.5,3,1,123.5,3,1,123.5,3,1
LCA0384GN31,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LCA0384WH11,2,9,152.1,6,1,152.1,6,1,152.1,6,1
LCA0385NY91,3,9,132.05,3,1,132.05,3,1,132.05,3,1
LCA0385SN11,2,9,112.1,2,1,112.1,2,1,169.0,6,1
LCA0386WH11,2,9,179.1,5,1,179.1,5,1,179.1,5,1
LCA0387IN71,2,9,179.1,3,1,179.1,3,1,179.1,3,1
LCA0392BE11,2,9,159.95,4,1,159.95,4,1,159.95,4,1
LCA0392GN31,2,9,159.95,5,1,159.95,5,1,159.95,5,1
LCA0392GY52,2,9,159.95,5,1,159.95,5,1,159.95,5,1
LCA0394IN71,2,9,185.0,5,1,185.0,5,1,185.0,5,1
LCA0395GY51,2,9,239.95,5,1,239.95,5,1,239.95,5,1
LCA0396GN31,1,9,215.0,6,1,215.0,6,1,215.0,6,1
LCA0403ST32,1,9,224.1,2,1,224.1,2,1,224.1,2,1
LCA0404OL32,1,9,163.4,4,1,163.4,4,1,163.4,4,1
LCA0405OL32,2,9,199.95,6,1,199.95,6,1,199.95,6,1
LCA0406IN71,3,9,152.95,4,1,152.95,4,1,152.95,4,1
LCA0407BL71,3,9,190.0,3,1,190.0,3,1,190.0,3,1
LCA0412BK91,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LCA0412CR31,3,9,161.1,6,2,161.1,6,2,161.1,6,2
LCA0412PI11,2,9,161.1,6,1,161.1,6,1,161.1,6,1
LCA0413BK91,3,9,197.1,6,2,197.1,6,2,197.1,6,2
LCA0413CR31,3,9,197.1,6,2,197.1,6,2,197.1,6,2
LCA0414BK11,2,9,179.1,6,1,179.1,6,1,179.1,6,1
